Year,Decades,MiddleClimate,Tm,Pm,Model_PJ4,Rs_Annomaly,Tm_Annomaly,Pm_Annomaly
1961,1990s,A,25.024097,149.351708,22.54493686,0.005,-0.163,4.981
1962,1990s,A,24.894814,151.889652,22.44769825,-0.092,-0.292,7.519
1963,1990s,A,25.034825,143.851397,22.42621232,-0.114,-0.152,-0.52
1964,1990s,A,24.893844,151.144114,22.46164534,-0.078,-0.293,6.773
1965,1990s,A,24.922017,142.620567,22.54073706,0.001,-0.265,-1.75
1966,1990s,A,25.095747,147.33723,22.57109806,0.031,-0.091,2.966
1967,1990s,A,24.881038,145.209198,22.50390495,-0.036,-0.306,0.838
1968,1990s,A,24.787245,148.267719,22.47779454,-0.062,-0.4,3.897
1969,1990s,A,25.237553,147.056064,22.52477068,-0.015,0.05,2.685
1970,1990s,A,25.069838,149.51051,22.41435053,-0.126,-0.117,5.14
1971,1990s,A,24.598437,148.248094,22.45229797,-0.088,-0.589,3.877
1972,1990s,A,24.977367,140.976911,22.63226823,0.092,-0.21,-3.394
1973,1990s,A,25.245783,152.317841,22.57942277,0.039,0.059,7.947
1974,1990s,A,24.713424,151.254751,22.60994755,0.07,-0.474,6.884
1975,1990s,A,24.760829,152.375568,22.56553154,0.026,-0.426,8.005
1976,1990s,A,24.748648,144.778472,22.51815992,-0.022,-0.439,0.407
1977,1990s,A,24.99963,147.725149,22.58698255,0.047,-0.188,3.354
1978,1990s,A,24.899781,152.14062,22.60602641,0.066,-0.287,7.77
1979,1990s,A,25.076857,146.204109,22.56074899,0.021,-0.11,1.833
1980,1990s,A,25.119288,144.924644,22.48735519,-0.053,-0.068,0.554
1981,1990s,A,24.942611,145.941329,22.45415285,-0.086,-0.245,1.57
1982,1990s,A,25.000293,142.636948,22.54575385,0.006,-0.187,-1.734
1983,1990s,A,25.27672,137.130581,22.3198974,-0.22,0.09,-7.24
1984,1990s,A,24.895172,146.664309,22.57469544,0.035,-0.292,2.293
1985,1990s,A,24.889646,146.560532,22.53158521,-0.008,-0.298,2.19
1986,1990s,A,24.977021,140.913561,22.57935611,0.039,-0.21,-3.457
1987,1990s,A,25.465491,133.470309,22.43845118,-0.101,0.278,-10.901
1988,1990s,A,25.217418,150.620617,22.46049953,-0.079,0.03,6.25
1989,1990s,A,24.800179,148.653805,22.55861036,0.019,-0.387,4.283
1990,1990s,A,25.195722,140.168153,22.66370775,0.124,0.009,-4.203
1991,1990s,A,25.201077,139.707273,22.5467765,0.007,0.014,-4.664
1992,1990s,A,25.135125,133.019786,22.43291703,-0.107,-0.052,-11.351
1993,1990s,A,25.165535,134.904972,22.54490512,0.005,-0.022,-9.466
1994,1990s,A,25.211536,144.267354,22.78915414,0.249,0.024,-0.104
1995,1990s,A,25.376566,141.159014,22.54818257,0.008,0.189,-3.212
1996,1990s,A,25.195664,143.167395,22.58097103,0.041,0.008,-1.204
1997,1990s,A,25.419776,134.326479,22.57478368,0.035,0.233,-10.045
1998,1990s,A,25.825455,137.271094,22.49184256,-0.048,0.638,-7.1
1999,1990s,A,25.15048,152.748676,22.63557107,0.096,-0.037,8.378
2000,1990s,A,25.158648,148.7044,22.60363704,0.064,-0.029,4.333
2001,2010s,A,25.345771,139.528901,22.65394205,0.114,0.159,-4.842
2002,2010s,A,25.595426,136.978736,22.58993308,0.05,0.408,-7.392
2003,2010s,A,25.537335,138.864687,22.60758928,0.068,0.35,-5.506
2004,2010s,A,25.4763,138.899529,22.58213144,0.042,0.289,-5.471
2005,2010s,A,25.740879,138.899529,22.59087448,0.051,0.554,-5.471
2006,2010s,A,25.530675,149.420855,22.69709165,0.157,0.343,5.05
2007,2010s,A,25.510269,145.672177,22.56082262,0.021,0.323,1.301
2008,2010s,A,25.340011,147.749154,22.47081115,-0.069,0.153,3.378
2009,2010s,A,25.639061,141.100534,22.56772222,0.028,0.452,-3.27
2010,2010s,A,25.931758,145.09251,22.44628583,-0.094,0.745,0.722
2011,2010s,A,25.385114,149.370403,22.487764,-0.052,0.198,4.999
2012,2010s,A,25.432029,139.58514,22.47230229,-0.068,0.245,-4.786
2013,2010s,A,25.549855,146.735944,22.55716683,0.017,0.363,2.365
2014,2010s,A,25.612301,138.914528,22.48476078,-0.055,0.425,-5.456
1961,1990s,B,19.158086,20.390979,16.47545976,-0.096,-0.348,-0.05
1962,1990s,B,19.333258,19.398446,16.53406535,-0.037,-0.173,-1.043
1963,1990s,B,19.462469,21.76076,16.58834482,0.017,-0.044,1.319
1964,1990s,B,18.846223,19.451015,16.33717653,-0.234,-0.66,-0.99
1965,1990s,B,19.206493,17.98171,16.49199936,-0.079,-0.3,-2.46
1966,1990s,B,19.268837,19.146617,16.50159048,-0.07,-0.238,-1.295
1967,1990s,B,18.876279,22.303261,16.37861598,-0.193,-0.63,1.862
1968,1990s,B,18.934046,21.302013,16.37387406,-0.198,-0.572,0.861
1969,1990s,B,19.182025,20.432363,16.48425612,-0.087,-0.324,-0.009
1970,1990s,B,19.202476,17.545172,16.48311539,-0.088,-0.304,-2.896
1971,1990s,B,19.02088,19.404918,16.40911727,-0.162,-0.486,-1.036
1972,1990s,B,18.962826,18.781056,16.37755334,-0.194,-0.544,-1.66
1973,1990s,B,19.341949,21.57035,16.50429852,-0.067,-0.165,1.129
1974,1990s,B,18.752759,24.773527,16.31484442,-0.257,-0.754,4.332
1975,1990s,B,18.940294,21.905386,16.37328941,-0.198,-0.566,1.464
1976,1990s,B,18.691264,22.709923,16.24439164,-0.327,-0.815,2.269
1977,1990s,B,19.304166,21.269068,16.54995302,-0.021,-0.202,0.828
1978,1990s,B,19.192493,22.549896,16.48290972,-0.089,-0.314,2.109
1979,1990s,B,19.519656,20.794772,16.57500459,0.004,0.013,0.353
1980,1990s,B,19.552423,19.750091,16.60054686,0.029,0.046,-0.691
1981,1990s,B,19.459513,22.183821,16.58709998,0.016,-0.047,1.743
1982,1990s,B,19.142841,19.980213,16.43937861,-0.132,-0.364,-0.461
1983,1990s,B,19.480449,19.639925,16.54852854,-0.023,-0.026,-0.801
1984,1990s,B,18.964669,18.890322,16.37849474,-0.193,-0.542,-1.551
1985,1990s,B,19.226964,18.193991,16.48720411,-0.084,-0.28,-2.247
1986,1990s,B,19.335344,18.726943,16.50747504,-0.064,-0.171,-1.714
1987,1990s,B,19.688365,18.446896,16.62711623,0.056,0.182,-1.994
1988,1990s,B,19.640187,20.907286,16.62451801,0.053,0.134,0.466
1989,1990s,B,19.369594,19.560492,16.51704522,-0.054,-0.137,-0.881
1990,1990s,B,19.801958,18.464717,16.68434241,0.113,0.295,-1.977
1991,1990s,B,19.488875,20.656796,16.59058692,0.019,-0.018,0.215
1992,1990s,B,19.159444,19.942525,16.43626748,-0.135,-0.347,-0.499
1993,1990s,B,19.310366,20.831212,16.47479195,-0.097,-0.196,0.39
1994,1990s,B,19.573376,20.508184,16.62082985,0.049,0.067,0.067
1995,1990s,B,19.731261,20.523974,16.65436546,0.083,0.225,0.083
1996,1990s,B,19.582596,20.073455,16.59830476,0.027,0.076,-0.368
1997,1990s,B,19.637873,22.595175,16.62018362,0.049,0.131,2.154
1998,1990s,B,20.067609,21.474069,16.74964827,0.178,0.561,1.033
1999,1990s,B,19.958047,20.809263,16.73349463,0.162,0.452,0.368
2000,1990s,B,19.648691,22.935784,16.61960406,0.048,0.142,2.494
2001,2010s,B,19.938471,21.231394,16.73843271,0.167,0.432,0.79
2002,2010s,B,20.036893,17.835148,16.68549456,0.114,0.53,-2.606
2003,2010s,B,19.954152,21.143717,16.67308304,0.102,0.448,0.702
2004,2010s,B,20.017371,20.534589,16.76220643,0.191,0.511,0.093
2005,2010s,B,20.130644,20.534589,16.75882551,0.187,0.624,0.093
2006,2010s,B,19.982907,21.586802,16.73805945,0.167,0.476,1.145
2007,2010s,B,20.081177,19.812565,16.755868,0.184,0.575,-0.629
2008,2010s,B,19.882677,18.929656,16.67607547,0.105,0.376,-1.512
2009,2010s,B,20.152181,19.328861,16.76009256,0.189,0.646,-1.112
2010,2010s,B,20.347487,22.746164,16.87690193,0.305,0.841,2.305
2011,2010s,B,19.633291,22.5253,16.63088755,0.059,0.127,2.084
2012,2010s,B,19.78387,19.600459,16.65550746,0.084,0.277,-0.841
2013,2010s,B,20.211848,19.277815,16.79125341,0.22,0.705,-1.164
2014,2010s,B,20.179188,20.177602,16.77574091,0.204,0.673,-0.264
1961,1990s,Cf,14.061125,96.699461,6.903656868,0.055,0.128,5.652
1962,1990s,Cf,13.604681,85.354905,6.700808582,-0.148,-0.329,-5.692
1963,1990s,Cf,13.593056,86.952044,6.761212554,-0.088,-0.341,-4.095
1964,1990s,Cf,13.587446,88.539287,6.742875214,-0.106,-0.346,-2.508
1965,1990s,Cf,13.605603,91.916873,6.748728664,-0.1,-0.328,0.87
1966,1990s,Cf,13.787968,92.222126,6.810614883,-0.038,-0.146,1.175
1967,1990s,Cf,13.830445,89.037113,6.81762747,-0.031,-0.103,-2.01
1968,1990s,Cf,13.637397,88.880365,6.754043807,-0.095,-0.296,-2.167
1969,1990s,Cf,13.548453,89.631147,6.74076198,-0.108,-0.385,-1.416
1970,1990s,Cf,13.637154,92.120839,6.760735822,-0.088,-0.296,1.074
1971,1990s,Cf,13.70085,88.020622,6.767988361,-0.081,-0.233,-3.027
1972,1990s,Cf,13.630447,94.210326,6.767890603,-0.081,-0.303,3.163
1973,1990s,Cf,13.829917,98.182293,6.843456031,-0.005,-0.104,7.135
1974,1990s,Cf,13.813946,93.926968,6.815532009,-0.033,-0.12,2.88
1975,1990s,Cf,13.932237,96.139373,6.861579444,0.013,-0.001,5.092
1976,1990s,Cf,13.369459,88.752012,6.66610177,-0.183,-0.564,-2.295
1977,1990s,Cf,13.968707,92.786562,6.864860703,0.016,0.035,1.739
1978,1990s,Cf,13.587892,87.724136,6.716468354,-0.132,-0.346,-3.323
1979,1990s,Cf,13.634732,93.598795,6.770109213,-0.079,-0.299,2.552
1980,1990s,Cf,13.705384,90.585331,6.734985975,-0.114,-0.228,-0.462
1981,1990s,Cf,13.865394,90.549444,6.82378816,-0.025,-0.068,-0.498
1982,1990s,Cf,13.944991,91.597884,6.865407262,0.017,0.011,0.551
1983,1990s,Cf,13.884083,95.838109,6.83048208,-0.018,-0.049,4.791
1984,1990s,Cf,13.618255,91.349448,6.73896043,-0.11,-0.315,0.302
1985,1990s,Cf,13.642269,85.487373,6.772313224,-0.076,-0.291,-5.56
1986,1990s,Cf,13.897093,87.115998,6.81790678,-0.031,-0.036,-3.931
1987,1990s,Cf,13.781737,89.508687,6.798650256,-0.05,-0.152,-1.538
