studynumber,Measure_Year,MiddleClimate,Rs_Norm,Tm,Pm,NoObs
17,1961,Cf,0.437,3.3,81,12
17,1961,Cf,0.743,6.9,69.4,12
17,1961,Cf,1.309,7.8,3.9,12
17,1961,Cf,1.144,9.9,78.6,12
17,1961,Cf,1.229,10.8,26.8,12
17,1961,Cf,1.901,15,39.8,12
17,1961,Cf,1.628,15.8,39.7,12
17,1961,Cf,1.842,16.2,58.1,12
17,1961,Cf,1.047,15.4,70.8,12
17,1961,Cf,0.78,10.6,82.4,12
17,1961,Cf,0.382,5.8,55.3,12
17,1961,Cf,0.446,2.6,101,12
20,1961,Cf,1.219,10.6,194.6,13
20,1961,Cf,0.995,11.3,85.3,13
20,1961,Cf,1.199,16.8,100.4,13
20,1961,Cf,2.587,21.6,134.5,13
20,1961,Cf,1.435,23.8,93.4,13
20,1961,Cf,1.601,23.4,89.9,13
20,1961,Cf,1.438,22.6,25.5,13
20,1961,Cf,0.951,14.6,81.2,13
20,1961,Cf,1.228,10.7,84.2,13
20,1961,Cf,1.017,4.4,287.6,13
20,1962,Cf,0.971,3,175.7,13
20,1962,Cf,0.55,8.3,219.5,13
20,1962,Cf,0.907,7.8,121.9,13
34,1964,A,2.062,25.4,152.5,11
34,1964,A,2.13,25.2,71.9,11
34,1964,A,2.041,26.1,60.9,11
34,1964,A,1.648,26.6,112.1,11
34,1964,A,1.752,26.4,116.1,11
34,1964,A,0.644,24.1,101.3,11
34,1965,A,0.728,24.7,29.2,11
34,1965,A,0.896,25.4,7.1,11
34,1965,A,0.781,25.9,4.6,11
34,1965,A,2.224,26,49,11
34,1965,A,2.008,25.2,82.4,11
35,1965,Df,3.818,19.2,90.9,39
35,1965,Df,2.657,10.7,144.4,39
35,1965,Df,1.835,9.7,28.7,39
35,1965,Df,1.221,-0.8,59.3,39
35,1965,Df,1.038,-4.5,52.3,39
35,1966,Df,0.063,-17.6,19.4,39
35,1966,Df,1.691,0.3,59.8,39
35,1966,Df,1.194,4.4,39.1,39
35,1966,Df,1.927,11.2,59.5,39
35,1966,Df,3.306,19.5,50.3,39
35,1966,Df,3.246,23.4,51.1,39
35,1966,Df,3.101,18.8,110.5,39
35,1966,Df,2.474,15,14.4,39
35,1965,Df,3.515,19.2,90.9,39
35,1965,Df,2.385,10.7,144.4,39
35,1965,Df,2.01,9.7,28.7,39
35,1965,Df,1.12,-0.8,59.3,39
35,1965,Df,1.038,-4.5,52.3,39
35,1966,Df,0.063,-17.6,19.4,39
35,1966,Df,0.315,0.3,59.8,39
35,1966,Df,1.327,4.4,39.1,39
35,1966,Df,2.158,11.2,59.5,39
35,1966,Df,4.882,19.5,50.3,39
35,1966,Df,4.817,23.4,51.1,39
35,1966,Df,4.187,18.8,110.5,39
35,1966,Df,2.943,15,14.4,39
35,1965,Df,3.345,19.2,90.9,39
35,1965,Df,1.956,10.7,144.4,39
35,1965,Df,2.136,9.7,28.7,39
35,1965,Df,1.101,-0.8,59.3,39
35,1965,Df,0.817,-4.5,52.3,39
35,1966,Df,0.063,-17.6,19.4,39
35,1966,Df,0.58,0.3,59.8,39
35,1966,Df,1.13,4.4,39.1,39
35,1966,Df,1.239,11.2,59.5,39
35,1966,Df,4.344,19.5,50.3,39
35,1966,Df,4.478,23.4,51.1,39
35,1966,Df,3.941,18.8,110.5,39
35,1966,Df,2.686,15,14.4,39
40,1965,Cf,2.925,14.2,70.1,13
40,1965,Cf,4.152,19.5,74.3,13
40,1966,Cf,3.708,20.6,25.8,13
40,1966,Cf,3.47,18.6,79.1,13
40,1966,Cf,3.261,16.5,60.5,13
40,1966,Cf,2.574,11.5,33.5,13
40,1966,Cf,2.02,9,38.2,13
40,1966,Cf,1.734,5.8,30.5,13
40,1966,Cf,2.005,6,105.8,13
40,1966,Cf,2.412,7.3,127.1,13
40,1966,Cf,1.955,9.7,107,13
40,1966,Cf,2.197,11.9,64.4,13
40,1966,Cf,2.914,15.6,40.2,13
68,1969,Cf,0.242,-2.2,99.6,12
68,1969,Cf,0.049,1.4,46.2,12
68,1969,Cf,0.404,2.5,54.5,12
68,1969,Cf,0.821,13.6,110.5,12
68,1969,Cf,1.635,17.9,104.1,12
68,1969,Cf,2.11,21.5,212.2,12
68,1969,Cf,2.782,26.6,154.2,12
68,1969,Cf,2.532,24.5,42.1,12
68,1969,Cf,2.036,20.3,184.8,12
68,1969,Cf,1.343,12.7,238.9,12
68,1969,Cf,0.754,6,13.2,12
68,1969,Cf,0.372,-0.1,36.2,12
77,1966,Cf,0.462,5,71.9,34
77,1966,Cf,0.639,8.7,99.6,34
77,1966,Cf,0.495,12.5,70.8,34
77,1966,Cf,0.627,16.1,113.3,34
77,1966,Cf,0.816,15.4,101.4,34
77,1966,Cf,0.602,15.6,92,34
77,1966,Cf,0.795,13.7,39.9,34
77,1966,Cf,0.376,11,138.5,34
77,1966,Cf,0.657,3.2,106.3,34
77,1966,Cf,0.547,3.5,194.6,34
77,1967,Cf,0.351,2.2,46.5,34
77,1967,Cf,0.315,4.6,71.2,34
77,1967,Cf,0.565,6.4,56.4,34
77,1967,Cf,0.651,7.2,50.2,34
77,1967,Cf,0.902,12.2,82.6,34
77,1967,Cf,0.621,14.2,29.2,34
77,1967,Cf,0.358,18.4,47.9,34
77,1967,Cf,0.706,16.4,84.7,34
